impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K20-124698,A604524,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2073062,LOST,Coco/simba,Dog,,Male,Chihuahua - Smooth Coated,Unknown,01/04/2020 12:00:00 AM,Date Lost,AIRPORT WAY SOUTH & INDUSRIAL WAY S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2073062,Image Copyright HLP Inc. 2020,,
K20-124864,A605201,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2076112,LOST,Graeme,Cat,,Male,Domestic Shorthair,Unknown,01/12/2020 12:00:00 AM,Date Lost,84TH AND 138TH IN NE KING COUNTY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2076112,Image Copyright HLP Inc. 2020,,
K20-125242,A606661,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A606661,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,5 YEARS,Male,Domestic Shorthair,Gray / Black,02/03/2020 12:00:00 AM,Received on,21600 SE 400TH ST,ENUMCLAW,WA,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606661,Image Copyright HLP Inc. 2020,"Received on: 2020-02-03<p/> Found Near: 21600 SE 400TH ST, ENUMCLAW WA 98022<p/> Description: Gray / Black Male Domestic Shorthair Cat<p/> Age: 5 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-125004,A605902,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2079076,LOST,Loki,Bird,,Male,Fowl,Unknown,01/14/2020 12:00:00 AM,Date Lost,60TH AVE W,NEAR MEADOWDALE BEACH,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2079076,Image Copyright HLP Inc. 2020,,
K20-124683,A071418,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2072730,In Public Home,Mischief,Cat,,Neutered Male,Domestic Longhair,Black,01/03/2020 12:00:00 AM,Date Found,1640 E ISAACS AVE,,,,OTHER,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2072730,Image Copyright HLP Inc. 2020,,
K20-124730,A604648,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2073484,In Public Home,,Dog,,Female,Havanese,Brown,01/05/2020 12:00:00 AM,Date Found,MILITARY ROAD AND S 240TH ST.,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2073484,Image Copyright HLP Inc. 2020,,
K20-124736,A604720,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2073785,LOST,Roser,Cat,,Male,Domestic Mediumhair,Unknown,12/30/2019 12:00:00 AM,Date Lost,HWY 203,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2073785,Image Copyright HLP Inc. 2020,,
K20-125157,A083917,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Chester,Dead Cat,8 YEARS 10 MONTHS,Neutered Male,Domestic Shorthair,Org Tabby / White,01/28/2020 12:00:00 AM,Received on,28500 161ST PL SE,COVINGTON,WA,98042,COVINGTON,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-01-28<p/> Found Near: 28500 161ST PL SE, COVINGTON WA 98042<p/> Description: Org Tabby / White Neutered Male Domestic Shorthair Cat<p/> Age: 8 YEARS 10 MONTHS<p/>",
K20-125078,A606111,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2080096,LOST,Kitty Guy,Cat,,Male,Bengal,Unknown,01/22/2020 12:00:00 AM,Date Lost,4635 S 255TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2080096,Image Copyright HLP Inc. 2020,,
K20-125180,A606488,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2081669,LOST,Gabby,Cat,,Male,Norwegian Forest Cat,Unknown,01/26/2020 12:00:00 AM,Date Lost,213TH AND 196TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2081669,Image Copyright HLP Inc. 2020,,
